Call_ID                             ,Speaker,Conversation                                                                                                                                                                                                                                                                                                                         ,Start,End
6,1,Bye-bye.                                                                                                                                                                                                                                                                                                                             ,197,201
6,2,A bye                                                                                                                                                                                                                                                                                                                                ,202,206
7,1,Hello.                                                                                                                                                                                                                                                                                                                               ,1,12
7,2,Hi Lucy this is Omar from Australia post load and go support.                                                                                                                                                                                                                                                                        ,13,17
7,2,I'm calling you in regards to the reissue of your card.                                                                                                                                                                                                                                                                              ,18,19
7,1,Oh yes                                                                                                                                                                                                                                                                                                                               ,20,23
7,2,Yes Lucy I want to apologize I've made a mistake on the reissue of your card when you talk together.                                                                                                                                                                                                                                 ,24,27
7,2,Two days ago.                                                                                                                                                                                                                                                                                                                        ,28,29
7,1,Yeah.                                                                                                                                                                                                                                                                                                                                ,30,34
7,2,So I've reissued to see what                                                                                                                                                                                                                                                                                                         ,35,37
7,1,Are going to happen.                                                                                                                                                                                                                                                                                                                 ,38,39
7,2,Well.                                                                                                                                                                                                                                                                                                                                ,40,41
7,2,I've reissued the same card with the same expiry date without updating it.                                                                                                                                                                                                                                                           ,42,47
7,2,So I'm calling you to advise you that I'll be reassuring the card today.                                                                                                                                                                                                                                                             ,48,50
7,2,With the right expiry date.                                                                                                                                                                                                                                                                                                          ,51,52
7,2,So I'm just giving you it's gonna be two days late.                                                                                                                                                                                                                                                                                  ,53,57
7,2,Because I've made this mistake and I do wanna apologize                                                                                                                                                                                                                                                                              ,58,63
7,1,For it.                                                                                                                                                                                                                                                                                                                              ,64,66
7,1,I don't know what's going to happen to all the money that I got it then.                                                                                                                                                                                                                                                             ,67,68
7,2,Absolutely no worries.                                                                                                                                                                                                                                                                                                               ,69,71
7,2,So it's going to be the same thing is just gonna be two days late so when you receive your first card.                                                                                                                                                                                                                               ,72,76
7,2,If you see the expiry date is the same as the old card                                                                                                                                                                                                                                                                               ,77,82
7,2,Do not                                                                                                                                                                                                                                                                                                                               ,83,88
7,1,Call for it call                                                                                                                                                                                                                                                                                                                     ,89,94
7,2,Only when you see different expiry date.                                                                                                                                                                                                                                                                                             ,95,97
7,2,Anymore more it's more a longer expired basically further                                                                                                                                                                                                                                                                            ,98,103
7,1,Expiry date                                                                                                                                                                                                                                                                                                                          ,104,105
7,1,Okay otherwise I can still use the one that I have got                                                                                                                                                                                                                                                                               ,106,110
7,2,Yes absolutely that won't change.                                                                                                                                                                                                                                                                                                    ,111,113
7,2,So you'll keep                                                                                                                                                                                                                                                                                                                       ,114,118
7,1,The one but I just want to understand the one what I've got is still valid.                                                                                                                                                                                                                                                          ,119,121
7,1,surely at the end of the month                                                                                                                                                                                                                                                                                                       ,122,125
7,2,Until 31 August.                                                                                                                                                                                                                                                                                                                     ,126,127
7,1,Yeah.                                                                                                                                                                                                                                                                                                                                ,128,132
7,1,Okay.                                                                                                                                                                                                                                                                                                                                ,133,136
7,1,Alright.                                                                                                                                                                                                                                                                                                                             ,137,140
7,1,So again I'm                                                                                                                                                                                                                                                                                                                         ,141,142
7,2,Just to reissue just to reassure the card do you have a moment with me just so I can fill out the information and reissue the card.                                                                                                                                                                                                  ,143,145
7,1,Yeah.                                                                                                                                                                                                                                                                                                                                ,146,150
7,2,Thank you very much Lucy won't be long okay.                                                                                                                                                                                                                                                                                         ,151,153
7,1,Okay.                                                                                                                                                                                                                                                                                                                                ,154,155
7,1,Thank you.                                                                                                                                                                                                                                                                                                                           ,156,161
7,2,Already just to confirm the address with you again please.                                                                                                                                                                                                                                                                           ,162,166
7,1,Yes.                                                                                                                                                                                                                                                                                                                                 ,167,170
7,1,13,171,172
7,1,Crystal Place CUE DALE                                                                                                                                                                                                                                                                                                               ,173,175
7,1,Thank                                                                                                                                                                                                                                                                                                                                ,176,180
7,2,You.                                                                                                                                                                                                                                                                                                                                 ,181,186
7,2,So please cue Dale.                                                                                                                                                                                                                                                                                                                  ,187,189
7,2,6105,190,193
7,1,Correct.                                                                                                                                                                                                                                                                                                                             ,194,198
7,2,re assuring card.                                                                                                                                                                                                                                                                                                                    ,199,201
7,2,Again his please just reissue did not update                                                                                                                                                                                                                                                                                         ,202,205
7,1,Expiry                                                                                                                                                                                                                                                                                                                               ,206,209
7,2,Thank you very much patience and comprehension.                                                                                                                                                                                                                                                                                      ,210,215
7,2,I do apologize again for my mistake.                                                                                                                                                                                                                                                                                                 ,216,217
7,2,And I've just reissued the card right                                                                                                                                                                                                                                                                                                ,218,223
7,1,Now.                                                                                                                                                                                                                                                                                                                                 ,224,228
7,2,The same as before card will stay active until you receive the new one you give us a call                                                                                                                                                                                                                                            ,229,231
7,1,We'll                                                                                                                                                                                                                                                                                                                                ,232,234
7,2,Activate it                                                                                                                                                                                                                                                                                                                          ,235,239
7,1,For you.                                                                                                                                                                                                                                                                                                                             ,240,244
7,1,Okay.                                                                                                                                                                                                                                                                                                                                ,245,249
7,1,Bye.                                                                                                                                                                                                                                                                                                                                 ,250,251
7,1,Hello hello.                                                                                                                                                                                                                                                                                                                         ,252,256
7,2,No worries Lucy thank you for calling australia post load and go and have a great                                                                                                                                                                                                                                                    ,257,261
7,1,Day.                                                                                                                                                                                                                                                                                                                                 ,262,266
7,1,Bye-bye.                                                                                                                                                                                                                                                                                                                             ,267,269
7,1,Bye-bye.                                                                                                                                                                                                                                                                                                                             ,270,274
7,1,'s                                                                                                                                                                                                                                                                                                                                   ,275,276
8,1,Hello.                                                                                                                                                                                                                                                                                                                               ,1,12
8,2,Hello Fiona this is Omar from Australia post loading go support how are you doing today.                                                                                                                                                                                                                                             ,13,15
8,1,Yeah I'm good thank you.                                                                                                                                                                                                                                                                                                             ,16,19
8,2,Thank you very much so.                                                                                                                                                                                                                                                                                                              ,20,25
8,2,If you have two minutes to talk I'll just it's in regards of your card reissue.                                                                                                                                                                                                                                                      ,26,30
8,1,Uh-huh.                                                                                                                                                                                                                                                                                                                              ,31,33
8,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,34,36
8,2,So I've made a mistake when I've reissued your card.                                                                                                                                                                                                                                                                                 ,37,39
8,2,I've reissued without updating the expiry date Fiona.                                                                                                                                                                                                                                                                                ,40,42
8,2,I do apologize for my mistake.                                                                                                                                                                                                                                                                                                       ,43,46
8,2,I'm calling you back to advise you that I will be reissuing your card today.                                                                                                                                                                                                                                                         ,47,50
8,2,But this time.                                                                                                                                                                                                                                                                                                                       ,51,54
8,2,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.                                                                                                                                                                                                 ,55,57
8,1,"Ok so, there willl be one that will come with the wrong expiry date and there will be another one coming again you say                                                                                                                                                                                                             ",58,60
8,2,Exactly Fiona.                                                                                                                                                                                                                                                                                                                       ,61,63
8,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,64,66
8,1,Okay then.                                                                                                                                                                                                                                                                                                                           ,67,69
8,2,Thank you very much for your comprehension and I wish you a great day Fiona.                                                                                                                                                                                                                                                         ,70,75
8,1,Ok then thank you.                                                                                                                                                                                                                                                                                                                   ,76,78
8,1,Thank you bye-bye.                                                                                                                                                                                                                                                                                                                   ,79,84
8,1,Bye                                                                                                                                                                                                                                                                                                                                  ,85,88
9,1,Hi.                                                                                                                                                                                                                                                                                                                                  ,1,11
9,1,The person you have a called is not available please leave a short 10 seconds message after the tone.                                                                                                                                                                                                                                ,12,16
9,1,And we'll send the message as a text.                                                                                                                                                                                                                                                                                                ,17,21
9,2,Hey Alison this is ghulam I'm calling from Australia post load and go support.                                                                                                                                                                                                                                                       ,22,24
9,2,I'm at your earliest convenience can you please get in touch with us                                                                                                                                                                                                                                                                 ,25,28
9,1,Your voice message is being converted to text it will be sent as an SMS.                                                                                                                                                                                                                                                             ,29,34
9,1,Thanks for using toasters message to text service                                                                                                                                                                                                                                                                                    ,35,39
10,0, Thank you for calling direct express card services my name is merry may have your name please.,,
10,2, Hello my name L. hay Seuss.,,
10,0, The last four digits of your card number.,,
10,2, Zero six two six.,,
10,0, The last four digits of your social security number.,,
10,2, Two eight six.,,
10,0, And your date of birth.,,
10,2, Six to nineteen forty five.,,
10,0, Thank you for that information.,,
10,0, I'm just going to check to see if your car profilers updated and then share some information with you today.,,
10,2, Okay well I just got a new car and I just packed I got a question so go ahead.,,
10,0, Do you have a mobile phone number Tony.,,
10,2, Cell phone.,,
10,0, Yes.,,
10,2, Six one.,,
10,0, Eight.,,
10,2, Seven oh seven.,,
10,0, Oh wait six four eight.,,
10,2, Seven oh seven.,,
10,2, Fifty six eighty five.,,
10,0, Do you have an email address.,,
10,2, Hi David I don't do email I don't remember I have to look at that.,,
10,0, Okay that's fine I'll update this phone number.,,
10,0, Before I share this information with you what questions you have for me today.,,
10,2, Well I just activated it.,,
10,2, And.,,
10,2, They said in June I had a deposit of one thousand four hundred sixty one dollars.,,
10,2, How much do I have on that account ma'am.,,
10,0, I show you have a balance of ninety three cents.,,
10,2, Okay.,,
10,2, And then I'll get my social security on the tent.,,
10,0, On the tenth I show a pending deposit for one thousand four hundred sixty one.,,
10,2, Okay.,,
10,0, Okay so I'm going to share some information with you today.,,
10,2, We.,,
10,0, We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,,
10,0, Well as a team what draws let me sure three features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar fifty.,,
10,0, You can enjoy the new card holder website to access your card information.,,
10,2, What he's saying now about going.,,
10,2, For free the last.,,
10,0, Walmart you can go to you can go to any Walmart money center and access up to two thousand dollars in cash for a fee of a dollar fifty.,,
10,2, Okay.,,
10,0, That's just at Walmart you can go into any banking get a withdrawal for free though.,,
10,2, Okay.,,
10,0, So you can enjoy the new card holder website.,,
10,0, I'm sorry.,,
10,2, Your your your you know.,,
10,2, And when you your brain telling her your body telling your brain you need oxygen.,,
10,0, That I must need a lot of oxygen today.,,
10,2, I know one person who was younger who bonded.,,
10,0, Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,,
10,2, Well I'm I'm very smart all.,,
10,2, Okay.,,
10,0, Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you may also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,,
10,0, You can go to our website at W. W. W. dot U. S. direct express dot com.,,
10,0, Please be sure to select the card beginning with the five one.,,
10,0, Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you twenty four seven three sixty five.,,
10,0, Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,,
10,0, Now today would you like me to set up the text alerts for you.,,
10,2, Well seven something I didn't do it alerts me.,,
10,0, So the text alerts would be.,,
10,0, The first one will be for your debit transactions oppose so anytime you use your card you'll get an alert.,,
10,0, Then we have one for a wrong pin attempts if you were to enter the wrong pin number you would get an alert.,,
10,0, Then we have one.,,
10,2, I don't think I need that.,,
10,0, You don't need that okay would you like to opt into our promotional alerts.,,
10,2, What's that name.,,
10,0, They'll send you promotions through alerts one Sir average once they have.,,
10,2, Well let me hear you Sir card first.,,
10,0, Okay absolutely you can sign up for them at any time.,,
10,2, Okay.,,
10,0, Okay do you have any other questions for me today Tony.,,
10,2, No that's all thank you.,,
10,0, You're welcome Sir thank you for calling direct express card services you have a good day.,,
10,2, Line for fifteen minutes I want help yeah a lot of I would log on thank you.,,
10,0, Sir you're welcome bye.,,
10,2, Bye.,,
10,2,,,
10,2, What else.,,
11,0, Thank you for calling direct.,,
11,0, Express card services this town how may I help you today.,,
11,1, Yeah hold morning let's see I'm calling on behalf of all of my mother just got activated for a foot up with us and the receipt look perfect on a debit card she's right here if you want to speak to her we realize that very hard of hearing it's very hard for her to go so but I do realize what a verify her driving please help give the phone to her you can also any questions you want to confirm that I think if you don't understand he lost me and then I can I can I can actually help order.,,
11,0, All right.,,
11,1, Okay one second.,,
11,0, Yes yes yes.,,
11,0, Hello.,,
11,1, Hi.,,
11,0, Hello what's your name.,,
11,0, Hi.,,
11,0, What is your name hi.,,
11,1, No.,,
11,0, Data birth.,,
11,0, Yeah.,,
11,0, Yeah.,,
11,0, Nine three for all other.,,
11,0, And the last for your social security number.,,
11,0, In Austin for did you of your social security number last four digits only.,,
11,0, Thanks bye.,,
11,1, Hello.,,
11,0, All right what can I help you with today.,,
11,0, No not my phone will keep you.,,
11,0, My son will speak to you.,,
11,0, Thank.,,
11,1, You.,,
11,0, Okay.,,
11,0, Okay.,,
11,0, Thank you so much the appreciate patience while you see what you're trying to understand is what you're asking yeah just a couple of quick questions so the end office correct if you also find the back of a debit card which is which is good the question of how do a process the deposit now you have to call social security back to know let them know you have that card and when are they going to deposit your phone.,,
11,1, I'm sorry.,,
11,0, Social security you have to call them in action when I go to deposit your funds on your account.,,
11,1, Well I don't but let me the book this book the first payment was actually given by itself but I could set.,,
11,0, Okay can you repeat that Sir it's kind of loud over here.,,
11,1, I said the first payment came by and I threw it sat right but deposit back into into the back.,,
11,0, Okay so the next time they.,,
11,0, Get you next time you get a deposit is going to come on this car because it's all first time you ever get paid to get a check.,,
11,1, Correct I know but well with my question how do I ask for deposits do I need to go to a bank deposited because you can deposit.,,
11,0, It wrecked express Kerr because you can only receive deposits on here you can.,,
11,1, Go on one more my mom I understand that I understand that from the next deposit on with some stock my question is they will be future deposits only happen also to activate the card and offered the post of the post.,,
11,0, That's what they told me.,,
11,1, That my question is how do I deposit the set like is the preferred bank I have to go to know what's going to go to.,,
11,0, Any bank.,,
11,1, In the bank you need.,,
11,0, Correct.,,
11,1, Okay so and is it is it going to be any charge for using an ATM.,,
11,0, You have to go to the money pass ATMs those are the surcharge free ATM for those direct express card.,,
11,1, Okay I'll call you call money back.,,
11,0, Money pass yes.,,
11,1, Okay do you know which burns burns you money back.,,
11,0, Demos for the ATM that's what the eighteen they have money Pat ATM.,,
11,0, You can go to the bank you can go to any bank and withdraw money for free.,,
11,1, Hello but my question is let me go to bank of America the bank of America they have money fast if you're you know.,,
11,0, I don't know Sir.,,
11,1, Okay I will go ahead and talk to them you can look.,,
11,0, You can look on Google and see if they have.,,
11,0, If they have any money pass ATMs in there.,,
11,1, Okay so I will go and look for the money back to the other close by and then so I can just you use this card and then I can just go deposits at the ATM but I have money.,,
11,0, Correct.,,
11,1, Okay well you put the money back this is circular just the thought of me is perfect.,,
11,0, Correct eighty five cents every time you for transaction at a non money past eight PM.,,
11,1, It is just that it would be they'll be a total of eighty five that's correct and let's see what I don't see the app on my phone and with the worth of the flight for directors press is it up there Bob dot director for **** all.,,
11,0, Correct.,,
11,1, Okay and on the mobile lap I need to get through on the mobile out correct.,,
11,0, Correct well the mobile app is not running right now so you have to register online the website.,,
11,1, I would go on the record and then later on I understand that from the professionals who work on the out correct.,,
11,0, Correct.,,
11,1, Okay no holds a whole long before the mobile office is is back up and running.,,
11,0, No Sir I do not know that.,,
11,1, Thank you so much for your time.,,
11,0, All right.,,
11,1, Goodbye but.,,
12,0, Thank you for calling direct express my name is Diana how mass issue.,,
12,1, We were just setting up the card for that social security payments I don't think they put a payment on until August and they just wishes so if you so just wait for the phone rang.,,
12,0, And who am I speaking with today.,,
12,1, Shannon over back.,,
12,0, All right she any key verify the last for the card number.,,
12,1, The last four numbers.,,
12,0, Yes.,,
12,1, One six two five.,,
12,0, And this security number the last for the social security number on your account.,,
12,1, Four four eight seven.,,
12,0, Your date of birth.,,
12,1, September twenty seven nineteen sixty three.,,
12,0, Thank you for that information give me one second what into your account.,,
12,0, All right I do want to go over some important information with you before I look into your account is that okay.,,
12,1, Okay.,,
12,0, Okay all right thank you and it's been a very warm welcome to you for being a part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard are accepted this includes may he purchases it up automatic bill payments for utility smartphone as well as a teal withdrawals.,,
12,0, We do have three features that will be available to you the direct express cash access allows you to go to Walmart location and access cash from your card without making a purchase and they'll be a fee of a dollar fifty you can enjoy the new car our website to access your card information to check your balance your preacher transactions make changes to your personal information you may also set up alerts notifying you opposed to deposit a low balance transaction activity changes in.,,
12,0, You can go to the W. W. W. dot U. S. direct express dot com to access the website.,,
12,0, Also you come before Beria's activities using automated phone system such as card activation pin change.,,
12,1, What was the website please visit W. W. W. W. W. W..,,
12,0, Dot U. S. direct express dot com.,,
12,1, You U. S. direct express.,,
12,0, Yes.,,
12,1, Okay thanks.,,
12,0, You're welcome and whether I do wanna let you know that we are available to you twenty four seven and three hundred sixty five days of the year ended you want to get signed up with any text messages or email alerts today.,,
12,1, Yeah be nice if you text me when there's any activity on the car.,,
12,0, All right that's fine give me one second.,,
12,0, Is your mobile phone number the five five four zero two one nine zero four three eight.,,
12,1, To.,,
12,0, Hurry me one second to get that updated.,,
