ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
14,2,746,756,You too all right.,You too all right.,You too all right.,You too all right.,You too all right.,You too all right,you too all right,right ,right 
14,0,764,772,Okay thank you so much bye bye.,Okay thank you so much bye bye.,Okay thank you so much bye bye.,Okay thank you so much bye bye.,Okay thank you so much bye bye.,Okay thank you so much bye bye,okay thank you so much bye bye,okay thank much bye bye ,okay thank much bye bye 
15,0,1,9,Thank you for calling direct express card services this is Laurie how may I help you.,Thank you for calling direct express card services this is Laurie how may I help you.,Thank you for calling direct express card services this is Laurie how may I help you.,Thank you for calling direct express card services this is Laurie how #  I help you.,Thank you for calling direct express card services this is Laurie how #  I help you.,Thank you for calling direct express card services this is Laurie how   I help you,thank you for calling direct express card services this is laurie how   i help you,thank calling direct express card services laurie help ,thank call direct express card service laurie help 
15,1,16,18,Oh my god email alert my phone.,Oh my god email alert my phone.,Oh my god email alert my phone.,Oh my god email alert my phone.,Oh my god email alert my phone.,Oh my god email alert my phone,oh my god email alert my phone,oh god email alert phone ,oh god email alert phone 
15,0,24,26,Okay what's your first name.,Okay what's your first name.,Okay what is your first name.,Okay what is your first name.,Okay what is your first name.,Okay what is your first name,okay what is your first name,okay first name ,okay first name 
15,1,30,33,Zero first name is Emmett.,Zero first name is Emmett.,Zero first name is Emmett.,Zero first name is Emmett.,Zero first name is Emmett.,Zero first name is Emmett,zero first name is emmett,zero first name emmett ,zero first name emmett 
15,0,36,44,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
15,0,47,49,Hi today okay and you said Whitfield.,Hi today okay and you said Whitfield.,Hi today okay and you said Whitfield.,Hi today okay and you said Whitfield.,Hi today okay and you said Whitfield.,Hi today okay and you said Whitfield,hi today okay and you said whitfield,hi today okay said whitfield ,hi today okay say whitfield 
15,1,53,63,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
15,0,65,67,W. H. I. T. F. I. E. L. D..,W. H. I. T. F. I. E. L. D..,W. H. I. T. F. I. E. L. D..,W. H. I. T. F. I. E. L. D..,W. H. I. T. F. I. E. L. D..,W H I T F I E L D,w h i t f i e l d,w h f e l ,w h f e l 
15,1,68,71,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
15,0,73,77,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
15,0,80,86,Well thank you can I put you on a brief all I'm sorry my computer I just have to log in just take a couple seconds okay.,Well thank you can I put you on a brief all I'm sorry my computer I just have to log in just take a couple seconds okay.,Well thank you can I put you on a brief all I'm sorry my computer I just have to log in just take a couple seconds okay.,Well thank you can I put you on a brief all I'm sorry my computer I just have to log in just take a couple seconds okay.,Well thank you can I put you on a brief all I'm sorry my computer I just have to log in just take a couple seconds okay.,Well thank you can I put you on a brief all Im sorry my computer I just have to log in just take a couple seconds okay,well thank you can i put you on a brief all im sorry my computer i just have to log in just take a couple seconds okay,well thank put brief im sorry computer log take couple seconds okay ,well thank put brief im sorry computer log take couple second okay 
15,1,87,93,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
15,0,99,101,I'm not gonna keep you on hold just one second let me try it again I do apologize for that.,I'm not gonna keep you on hold just one second let me try it again I do apologize for that.,I'm not gonna keep you on hold just one second let me try it again I do apologize for that.,I'm not gonna keep you on hold just #  second let me try it again I do apologize for that.,I'm not gonna keep you on hold just #  second let me try it again I do apologize for that.,Im not gonna keep you on hold just   second let me try it again I do apologize for that,im not gonna keep you on hold just   second let me try it again i do apologize for that,im gonna keep hold second let try apologize ,im gonna keep hold second let try apologize 
15,0,111,116,Is A. N. N. E. T. T. E..,Is A. N. N. E. T. T. E..,Is A. N. N. E. T. T. E..,Is A. N. N. E. T. T. E..,Is A. N. N. E. T. T. E..,Is A N N E T T E,is a n n e t t e,n n e e ,n n e e 
15,1,124,130,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
15,1,139,148,Are you my middle initial is J..,Are you my middle initial is J..,Are you my middle initial is J..,Are you my middle initial is J..,Are you my middle initial is J..,Are you my middle initial is J,are you my middle initial is j,middle initial j ,middle initial j 
15,0,158,159,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
15,0,163,173,Okay and what is the last four of your card number please.,Okay and what is the last four of your card number please.,Okay and what is the last four of your card number please.,Okay and what is the last #  of your card number please.,Okay and what is the last #  of your card number please.,Okay and what is the last   of your card number please,okay and what is the last   of your card number please,okay last card number please ,okay last card number please 
15,1,175,176,No.,No.,No.,No.,No.,No,no,,
15,0,181,183,Okay thank you.,Okay thank you.,Okay thank you.,Okay thank you.,Okay thank you.,Okay thank you,okay thank you,okay thank ,okay thank 
15,0,190,196,And what is the last four of your social.,And what is the last four of your social.,And what is the last four of your social.,And what is the last #  of your social.,And what is the last #  of your social.,And what is the last   of your social,and what is the last   of your social,last social ,last social 
15,1,199,206,No one one.,No one one.,No one one.,No #  # .,No #  # .,No    ,no    , , 
15,0,211,219,Okay and thank you so much for your patience you want to be set up for a large.,Okay and thank you so much for your patience you want to be set up for a large.,Okay and thank you so much for your patience you want to be set up for a large.,Okay and thank you so much for your patience you want to be set up for a large.,Okay and thank you so much for your patience you want to be set up for a large.,Okay and thank you so much for your patience you want to be set up for a large,okay and thank you so much for your patience you want to be set up for a large,okay thank much patience want set large ,okay thank much patience want set large 
15,1,224,234,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
15,0,239,241,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
15,0,251,255,Okay let's see.,Okay let's see.,Okay let us see.,Okay let us see.,Okay let us see.,Okay let us see,okay let us see,okay let us see ,okay let us see 
15,0,265,272,Can you verify your cell phone number.,Can you verify your cell phone number.,Can you verify your cell phone number.,Can you verify your cell phone number.,Can you verify your cell phone number.,Can you verify your cell phone number,can you verify your cell phone number,verify cell phone number ,verify cell phone number 
15,1,273,276,Four three four.,Four three four.,Four three four.,Four #  # .,Four #  # .,Four    ,four    ,four  ,four 
15,1,284,294,Three two seven four three six.,Three two seven four three six.,Three two seven four three six.,Three #  #  #  #  # .,Three #  #  #  #  # .,Three          ,three          ,three  ,three 
15,0,296,300,Thank you and do you have an email address.,Thank you and do you have an email address.,Thank you and do you have an email address.,Thank you and do you have an email address.,Thank you and do you have an email address.,Thank you and do you have an email address,thank you and do you have an email address,thank email address ,thank email address 
15,1,307,308,U. S..,U. S..,U. S..,U. S..,U. S..,U S,u s,u ,u 
15,0,310,311,Patch okay let me get into that field moment.,Patch okay let me get into that field moment.,Patch okay let me get into that field moment.,Patch okay let me get into that field moment.,Patch okay let me get into that field moment.,Patch okay let me get into that field moment,patch okay let me get into that field moment,patch okay let get field moment ,patch okay let get field moment 
15,0,314,324,Okay what's your email address.,Okay what's your email address.,Okay what is your email address.,Okay what is your email address.,Okay what is your email address.,Okay what is your email address,okay what is your email address,okay email address ,okay email address 
15,1,333,338,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
15,1,347,356,That we feel.,That we feel.,That we feel.,That we feel.,That we feel.,That we feel,that we feel,feel ,feel 
15,1,360,364,Hey Yahoo dot com.,Hey Yahoo dot com.,Hey Yahoo dot com.,Hey Yahoo dot com.,Hey @ .,Hey  ,hey  ,hey  ,hey 
15,0,367,369,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
15,0,371,373,That's a net A. N. N. E. T. T. E. that would feel W. H. I. T. F. I. E. L. D. at Yahoo dot com.,That's a net A. N. N. E. T. T. E. that would feel W. H. I. T. F. I. E. L. D. at Yahoo dot com.,That's a net A. N. N. E. T. T. E. that would feel W. H. I. T. F. I. E. L. D. at Yahoo dot com.,That's a net A. N. N. E. T. T. E. that would feel W. H. I. T. F. I. E. L. D. at Yahoo dot com.,That's a net A. N. N. E. T. T. E. that would feel W. H. I. T. F. I. E. L. D. at @ .,Thats a net A N N E T T E that would feel W H I T F I E L D at  ,thats a net a n n e t t e that would feel w h i t f i e l d at  ,thats net n n e e would feel w h f e l  ,thats net n n e e would feel w h f e l 
15,1,382,391,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
15,0,395,405,Okay and your date of birth.,Okay and your date of birth.,Okay and your date of birth.,Okay and your date of birth.,Okay and your date of birth.,Okay and your date of birth,okay and your date of birth,okay date birth ,okay date birth 
15,1,407,413,Eleven sixteen nineteen sixty three.,Eleven sixteen nineteen sixty three.,Eleven sixteen nineteen sixty three.,Eleven #  #  #  # .,Eleven #  #  #  # .,Eleven        ,eleven        ,eleven  ,eleven 
15,0,419,428,All right you have a beautiful day I was born in nineteen sixty three and you one day earlier them out if any of those eleven seventeen.,All right you have a beautiful day I was born in nineteen sixty three and you one day earlier them out if any of those eleven seventeen.,All right you have a beautiful day I was born in nineteen sixty three and you one day earlier them out if any of those eleven seventeen.,All right you have a beautiful day I was born in #  #  #  and you #  day earlier them out if any of those #  # .,All right you have a beautiful day I was born in #  #  #  and you #  day earlier them out if any of those #  # .,All right you have a beautiful day I was born in       and you   day earlier them out if any of those    ,all right you have a beautiful day i was born in       and you   day earlier them out if any of those    ,right beautiful day born day earlier  ,right beautiful day bear day earlier 
15,0,434,440,Yes but.,Yes but.,Yes but.,Yes but.,Yes but.,Yes but,yes but,yes ,yes 
15,0,445,453,I always tell my car holds I always get this going because I I sometimes that's on don't thing anybody today.,I always tell my car holds I always get this going because I I sometimes that's on don't thing anybody today.,I always tell my car holds I always get this going because I I sometimes that is on do not thing anybody today.,I always tell my car holds I always get this going because I I sometimes that is on do not thing anybody today.,I always tell my car holds I always get this going because I I sometimes that is on do not thing anybody today.,I always tell my car holds I always get this going because I I sometimes that is on do not thing anybody today,i always tell my car holds i always get this going because i i sometimes that is on do not thing anybody today,always tell car holds always get going sometimes thing anybody today ,always tell car hold always get go sometimes thing anybody today 
15,1,463,471,With me today.,With me today.,With me today.,With me today.,With me today.,With me today,with me today,today ,today 
15,0,476,486,Yeah and you you yes the at that.,Yeah and you you yes the at that.,Yeah and you you yes the at that.,Yeah and you you yes the at that.,Yeah and you you yes the at that.,Yeah and you you yes the at that,yeah and you you yes the at that,yeah yes ,yeah yes 
15,0,490,491,Because if they do.,Because if they do.,Because if they do.,Because if they do.,Because if they do.,Because if they do,because if they do,,
15,0,499,500,I think we're nice.,I think we're nice.,I think we are nice.,I think we are nice.,I think we are nice.,I think we are nice,i think we are nice,think nice ,think nice 
15,1,502,504,Well we are very compassionate most most people.,Well we are very compassionate most most people.,Well we are very compassionate most most people.,Well we are very compassionate most most people.,Well we are very compassionate most most people.,Well we are very compassionate most most people,well we are very compassionate most most people,well compassionate people ,well compassionate people 
15,0,514,524,We are we are we keep trying but then once we done we're done as it is something that.,We are we are we keep trying but then once we done we're done as it is something that.,We are we are we keep trying but then once we done we are done as it is something that.,We are we are we keep trying but then once we done we are done as it is something that.,We are we are we keep trying but then once we done we are done as it is something that.,We are we are we keep trying but then once we done we are done as it is something that,we are we are we keep trying but then once we done we are done as it is something that,keep trying done done something ,keep try do do something 
15,1,534,536,,None,None,None,None,None,none,none ,none 
15,0,546,555,,None,None,None,None,None,none,none ,none 
15,1,558,567,We we we do we do it well how I don't know we.,We we we do we do it well how I don't know we.,We we we do we do it well how I do not know we.,We we we do we do it well how I do not know we.,We we we do we do it well how I do not know we.,We we we do we do it well how I do not know we,we we we do we do it well how i do not know we,well know ,well know 
15,0,571,573,We do oh my goodness and our expression on our face and try try to hide it but it like.,We do oh my goodness and our expression on our face and try try to hide it but it like.,We do oh my goodness and our expression on our face and try try to hide it but it like.,We do oh my goodness and our expression on our face and try try to hide it but it like.,We do oh my goodness and our expression on our face and try try to hide it but it like.,We do oh my goodness and our expression on our face and try try to hide it but it like,we do oh my goodness and our expression on our face and try try to hide it but it like,oh goodness expression face try try hide like ,oh goodness expression face try try hide like 
15,0,575,578,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
15,1,583,589,They had pain very will.,They had pain very will.,They had pain very will.,They had pain very will.,They had pain very will.,They had pain very will,they had pain very will,pain ,pain 
15,0,598,605,Your anger.,Your anger.,Your anger.,Your anger.,Your anger.,Your anger,your anger,anger ,anger 
15,0,606,609,Or frustrated but I.,Or frustrated but I.,Or frustrated but I.,Or frustrated but I.,Or frustrated but I.,Or frustrated but I,or frustrated but i,frustrated ,frustrate 
15,0,614,618,Lease with genuine.,Lease with genuine.,Lease with genuine.,Lease with genuine.,Lease with genuine.,Lease with genuine,lease with genuine,lease genuine ,lease genuine 
15,1,627,629,No no we don't we don't go by.,No no we don't we don't go by.,No no we do not we do not go by.,No no we do not we do not go by.,No no we do not we do not go by.,No no we do not we do not go by,no no we do not we do not go by,go ,go 
15,1,639,648,No we don't.,No we don't.,No we do not.,No we do not.,No we do not.,No we do not,no we do not,,
15,0,657,664,We don't because the first thing somebody say maybe like really did something nice are really sensitive but they'd be like okay but what did you say to her parts guys you don't bother nobody.,We don't because the first thing somebody say maybe like really did something nice are really sensitive but they'd be like okay but what did you say to her parts guys you don't bother nobody.,We do not because the first thing somebody say maybe like really did something nice are really sensitive but they would be like okay but what did you say to her parts guys you do not bother nobody.,We do not because the first thing somebody say maybe like really did something nice are really sensitive but they would be like okay but what did you say to her parts guys you do not bother nobody.,We do not because the first thing somebody say maybe like really did something nice are really sensitive but they would be like okay but what did you say to her parts guys you do not bother nobody.,We do not because the first thing somebody say maybe like really did something nice are really sensitive but they would be like okay but what did you say to her parts guys you do not bother nobody,we do not because the first thing somebody say maybe like really did something nice are really sensitive but they would be like okay but what did you say to her parts guys you do not bother nobody,first thing somebody say maybe like really something nice really sensitive would like okay say parts guys bother nobody ,first thing somebody say maybe like really something nice really sensitive would like okay say part guy bother nobody 
15,0,673,681,Yes ma'am okay and did you want these alerts to go to your email address or your cell phone or both.,Yes ma'am okay and did you want these alerts to go to your email address or your cell phone or both.,Yes madam okay and did you want these alerts to go to your email address or your cell phone or both.,Yes madam okay and did you want these alerts to go to your email address or your cell phone or both.,Yes madam okay and did you want these alerts to go to your email address or your cell phone or both.,Yes madam okay and did you want these alerts to go to your email address or your cell phone or both,yes madam okay and did you want these alerts to go to your email address or your cell phone or both,yes madam okay want alerts go email address cell phone ,yes madam okay want alert go email address cell phone 
15,1,685,691,Both.,Both.,Both.,Both.,Both.,Both,both,,
15,0,697,703,Okay and may I put you on a little brief hold while I set him up only second okay thank you.,Okay and may I put you on a little brief hold while I set him up only second okay thank you.,Okay and may I put you on a little brief hold while I set him up only second okay thank you.,Okay and #  I put you on a little brief hold while I set him up only second okay thank you.,Okay and #  I put you on a little brief hold while I set him up only second okay thank you.,Okay and   I put you on a little brief hold while I set him up only second okay thank you,okay and   i put you on a little brief hold while i set him up only second okay thank you,okay put little brief hold set second okay thank ,okay put little brief hold set second okay thank 
15,0,706,712,Thank you for your patience and I've set up your lotus is there anything else I can assist you with.,Thank you for your patience and I've set up your lotus is there anything else I can assist you with.,Thank you for your patience and I've set up your lotus is there anything else I can assist you with.,Thank you for your patience and I've set up your lotus is there anything else I can assist you with.,Thank you for your patience and I've set up your lotus is there anything else I can assist you with.,Thank you for your patience and Ive set up your lotus is there anything else I can assist you with,thank you for your patience and ive set up your lotus is there anything else i can assist you with,thank patience ive set lotus anything else assist ,thank patience ive set lotus anything else assist 
15,1,716,724,Hello thank you.,Hello thank you.,Hello thank you.,Hello thank you.,Hello thank you.,Hello thank you,hello thank you,hello thank ,hello thank 
15,0,732,737,,None,None,None,None,None,none,none ,none 
15,1,740,749,You.,You.,You.,You.,You.,You,you,,
15,0,757,765,Know you know I don't think anybody.,Know you know I don't think anybody.,Know you know I do not think anybody.,Know you know I do not think anybody.,Know you know I do not think anybody.,Know you know I do not think anybody,know you know i do not think anybody,know know think anybody ,know know think anybody 
15,0,771,776,Because warrant.,Because warrant.,Because warrant.,Because warrant.,Because warrant.,Because warrant,because warrant,warrant ,warrant 
15,0,779,782,I try to hold my thing or I'm trying to hold it all right.,I try to hold my thing or I'm trying to hold it all right.,I try to hold my thing or I'm trying to hold it all right.,I try to hold my thing or I'm trying to hold it all right.,I try to hold my thing or I'm trying to hold it all right.,I try to hold my thing or Im trying to hold it all right,i try to hold my thing or im trying to hold it all right,try hold thing im trying hold right ,try hold thing im try hold right 
15,0,792,802,Thank you for calling direct express card services and you have a blessed day miss with bill okay.,Thank you for calling direct express card services and you have a blessed day miss with bill okay.,Thank you for calling direct express card services and you have a blessed day miss with bill okay.,Thank you for calling direct express card services and you have a blessed day miss with bill okay.,Thank you for calling direct express card services and you have a blessed day miss with bill okay.,Thank you for calling direct express card services and you have a blessed day miss with bill okay,thank you for calling direct express card services and you have a blessed day miss with bill okay,thank calling direct express card services blessed day miss bill okay ,thank call direct express card service bless day miss bill okay 
15,0,811,821,Thank you for talking to you bye bye.,Thank you for talking to you bye bye.,Thank you for talking to you bye bye.,Thank you for talking to you bye bye.,Thank you for talking to you bye bye.,Thank you for talking to you bye bye,thank you for talking to you bye bye,thank talking bye bye ,thank talk bye bye 
16,1,1,11,Thank you for calling card services my name is Andrea how may be of assistance today.,Thank you for calling card services my name is Andrea how may be of assistance today.,Thank you for calling card services my name is Andrea how may be of assistance today.,Thank you for calling card services my name is Andrea how #  be of assistance today.,Thank you for calling card services my name is Andrea how #  be of assistance today.,Thank you for calling card services my name is Andrea how   be of assistance today,thank you for calling card services my name is andrea how   be of assistance today,thank calling card services name andrea assistance today ,thank call card service name andrea assistance today 
16,2,19,22,Yes I was transferred to you all of them so I'm guessing so more.,Yes I was transferred to you all of them so I'm guessing so more.,Yes I was transferred to you all of them so I'm guessing so more.,Yes I was transferred to you all of them so I'm guessing so more.,Yes I was transferred to you all of them so I'm guessing so more.,Yes I was transferred to you all of them so Im guessing so more,yes i was transferred to you all of them so im guessing so more,yes transferred im guessing ,yes transfer im guess 
16,2,28,38,But my new court on.,But my new court on.,But my new court on.,But my new court on.,But my new court on.,But my new court on,but my new court on,new court ,new court 
16,1,48,51,Okay do you have that card number available to you.,Okay do you have that card number available to you.,Okay do you have that card number available to you.,Okay do you have that card number available to you.,Okay do you have that card number available to you.,Okay do you have that card number available to you,okay do you have that card number available to you,okay card number available ,okay card number available 
16,2,57,58,Yes ma'am.,Yes ma'am.,Yes madam.,Yes madam.,Yes madam.,Yes madam,yes madam,yes madam ,yes madam 
16,1,65,67,Okay can you give me that card number.,Okay can you give me that card number.,Okay can you give me that card number.,Okay can you give me that card number.,Okay can you give me that card number.,Okay can you give me that card number,okay can you give me that card number,okay give card number ,okay give card number 
16,2,75,84,Five one one five.,Five one one five.,Five one one five.,Five #  #  # .,Five #  #  # .,Five      ,five      ,five  ,five 
16,2,87,92,Three four eight seven eight four nine nine five six two.,Three four eight seven eight four nine nine five six two.,Three four eight seven eight four nine nine five six two.,Three #  #  #  #  #  #  #  #  #  # .,Three #  #  #  #  #  #  #  #  #  # .,Three                    ,three                    ,three  ,three 
16,1,95,99,And can you verify the last name on the account.,And can you verify the last name on the account.,And can you verify the last name on the account.,And can you verify the last name on the account.,And can you verify the last name on the account.,And can you verify the last name on the account,and can you verify the last name on the account,verify last name account ,verify last name account 
16,2,103,111,Jennifer the V. Johnson okay and Jennifer what.,Jennifer the V. Johnson okay and Jennifer what.,Jennifer the V. Johnson okay and Jennifer what.,Jennifer the V. Johnson okay and Jennifer what.,Jennifer the V. Johnson okay and Jennifer what.,Jennifer the V Johnson okay and Jennifer what,jennifer the v johnson okay and jennifer what,jennifer v johnson okay jennifer ,jennifer v johnson okay jennifer 
16,1,117,120,Is the last.,Is the last.,Is the last.,Is the last.,Is the last.,Is the last,is the last,last ,last 
16,2,125,130,Five nine zero four.,Five nine zero four.,Five nine zero four.,Five #  zero # .,Five #  zero # .,Five   zero  ,five   zero  ,five zero  ,five zero 
16,1,136,142,Okay eight and your date of birth.,Okay eight and your date of birth.,Okay eight and your date of birth.,Okay #  and your date of birth.,Okay #  and your date of birth.,Okay   and your date of birth,okay   and your date of birth,okay date birth ,okay date birth 
16,2,150,153,Thank you for.,Thank you for.,Thank you for.,Thank you for.,Thank you for.,Thank you for,thank you for,thank ,thank 
16,1,157,158,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it's only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it's only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it is only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it is only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it is only take a couple moments we would like to send a warm welcome for you being a part of the direct express program.,All righty well thank you for that information and before I look into your account I first want to take a minute to share some important information with you it is only take a couple moments we would like to send a warm welcome for you being a part of the direct express program,all righty well thank you for that information and before i look into your account i first want to take a minute to share some important information with you it is only take a couple moments we would like to send a warm welcome for you being a part of the direct express program,righty well thank information look account first want take minute share important information take couple moments would like send warm welcome part direct express program ,righty well thank information look account first want take minute share important information take couple moments would like send warm welcome part direct express program 
16,1,163,170,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone.,We have updated our system to provide you better service as always you can use your card anywhere MasterCard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone,we have updated our system to provide you better service as always you can use your card anywhere mastercard is accepted this includes purchases setting up automatic bill payments for utilities and smartphone,updated system provide better service always use card anywhere mastercard accepted includes purchases setting automatic bill payments utilities smartphone ,update system provide better service always use card anywhere mastercard accept include purchase set automatic bill payments utilities smartphone 
16,2,176,183,Well as.,Well as.,Well as.,Well as.,Well as.,Well as,well as,well ,well 
16,1,190,191,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD.,ATM withdrawals we also have some new tires that we would like to tell you about we have the direct express CAD,atm withdrawals we also have some new tires that we would like to tell you about we have the direct express cad,atm withdrawals also new tires would like tell direct express cad ,atm withdrawals also new tire would like tell direct express cad 
16,2,198,206,,None,None,None,None,None,none,none ,none 
16,1,207,213,This feature which allows you to go to any Walmart location near you and I.,This feature which allows you to go to any Walmart location near you and I.,This feature which allows you to go to any Walmart location near you and I.,This feature which allows you to go to any Walmart location near you and I.,This feature which allows you to go to any Walmart location near you and I.,This feature which allows you to go to any Walmart location near you and I,this feature which allows you to go to any walmart location near you and i,feature allows go walmart location near ,feature allow go walmart location near 
16,1,221,224,Access your cash.,Access your cash.,Access your cash.,Access your cash.,Access your cash.,Access your cash,access your cash,access cash ,access cash 
16,2,225,234,Out meeting a purchase.,Out meeting a purchase.,Out meeting a purchase.,Out meeting a purchase.,Out meeting a purchase.,Out meeting a purchase,out meeting a purchase,meeting purchase ,meet purchase 
16,1,236,242,So you just got to the register swipe your card.,So you just got to the register swipe your card.,So you just got to the register swipe your card.,So you just got to the register swipe your card.,So you just got to the register swipe your card.,So you just got to the register swipe your card,so you just got to the register swipe your card,got register swipe card ,get register swipe card 
16,1,247,255,That way and then that will be a dollar fifty people.,That way and then that will be a dollar fifty people.,That way and then that will be a dollar fifty people.,That way and then that will be a dollar #  people.,That way and then that will be a dollar #  people.,That way and then that will be a dollar   people,that way and then that will be a dollar   people,way dollar people ,way dollar people 
16,1,258,262,But you wouldn't have to make a purchase we also have the cardholder website which you can enjoy checking your balance.,But you wouldn't have to make a purchase we also have the cardholder website which you can enjoy checking your balance.,But you would not have to make a purchase we also have the cardholder website which you can enjoy checking your balance.,But you would not have to make a purchase we also have the cardholder website which you can enjoy checking your balance.,But you would not have to make a purchase we also have the cardholder website which you can enjoy checking your balance.,But you would not have to make a purchase we also have the cardholder website which you can enjoy checking your balance,but you would not have to make a purchase we also have the cardholder website which you can enjoy checking your balance,would make purchase also cardholder website enjoy checking balance ,would make purchase also cardholder website enjoy check balance 
16,1,263,266,Since pretty young and.,Since pretty young and.,Since pretty young and.,Since pretty young and.,Since pretty young and.,Since pretty young and,since pretty young and,since pretty young ,since pretty young 
16,2,267,273,Make.,Make.,Make.,Make.,Make.,Make,make,make ,make 
16,1,276,282,Changes.,Changes.,Changes.,Changes.,Changes.,Changes,changes,changes ,change 
16,1,286,289,For me.,For me.,For me.,For me.,For me.,For me,for me,,
16,2,291,296,Okay so you're you're saying that.,Okay so you're you're saying that.,Okay so you are you are saying that.,Okay so you are you are saying that.,Okay so you are you are saying that.,Okay so you are you are saying that,okay so you are you are saying that,okay saying ,okay say 
16,2,306,308,Okay last four.,Okay last four.,Okay last four.,Okay last # .,Okay last # .,Okay last  ,okay last  ,okay last  ,okay last 
16,2,318,320,Any wal Mart or whatever withdrawal all the bar yeah so the.,Any wal Mart or whatever withdrawal all the bar yeah so the.,Any wal Mart or whatever withdrawal all the bar yeah so the.,Any wal Mart or whatever withdrawal all the bar yeah so the.,Any wal Mart or whatever withdrawal all the bar yeah so the.,Any wal Mart or whatever withdrawal all the bar yeah so the,any wal mart or whatever withdrawal all the bar yeah so the,wal mart whatever withdrawal bar yeah ,wal mart whatever withdrawal bar yeah 
16,1,322,329,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase.,The money there any Walmart location and go up to any register and your card and take out money that way without having to make a purchase,the money there any walmart location and go up to any register and your card and take out money that way without having to make a purchase,money walmart location go register card take money way without make purchase ,money walmart location go register card take money way without make purchase 
16,2,339,343,Oh okay but the money has to be on the call.,Oh okay but the money has to be on the call.,Oh okay but the money has to be on the call.,Oh okay but the money has to be on the call.,Oh okay but the money has to be on the call.,Oh okay but the money has to be on the call,oh okay but the money has to be on the call,oh okay money call ,oh okay money call 
16,1,345,348,Yep it has to be on the card.,Yep it has to be on the card.,Yep it has to be on the card.,Yep it has to be on the card.,Yep it has to be on the card.,Yep it has to be on the card,yep it has to be on the card,yep card ,yep card 
